ItemNum,Procedure,Item,CRESP,TrialType,WordType,Frequency,Regularity,Imageability,PartofSpeech,Lexicality
1,showtrial,drill,yes,Practice,practice,N/A,N/A,N/A,N/A,Real
2,showtrial,kouse,no,Practice,practice,N/A,N/A,N/A,N/A,Pseudo
3,showtrial,skirp,no,Practice,practice,N/A,N/A,N/A,N/A,Pseudo
4,showlastpractice,thumb,yes,Practice,practice,N/A,N/A,N/A,N/A,Real
5,showtrial,polb,no,Real,PW_No_Analogy,N/A,N/A,N/A,N/A,Pseudo
6,showtrial,thyme,yes,Real,LF_LI_Exception,low,Exception,low,Noun,Real
7,showtrial,dofe,no,Real,PW_No_Analogy,N/A,N/A,N/A,N/A,Pseudo
8,showtrial,bimb,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
9,showtrial,sew,yes,Real,LF_HI_Exception,low,Exception,high,Verb,Real
10,showtrial,tuve,no,Real,PW_No_Analogy,N/A,N/A,N/A,N/A,Pseudo
11,showtrial,sword,yes,Real,HF_HI_Exception,high,Exception,high,Noun,Real
12,showtrial,bace,no,Real,PH,N/A,N/A,N/A,N/A,Pseudo
13,showtrial,vour,no,Real,PW_Inconsistent,N/A,N/A,N/A,N/A,Pseudo
14,showtrial,hoof,yes,Real,LF_HI_Exception,low,Exception,high,Noun,Real
15,showtrial,dask,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
16,showtrial,crab,yes,Real,LF_HI_Regular,low,Regular,high,Noun,Real
17,showtrial,rood,no,Real,PH,N/A,N/A,N/A,N/A,Pseudo
18,showtrial,tour,yes,Real,HF_LI_Exception,high,Exception,low,Noun,Real
19,showtrial,bame,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
20,showtrial,stow,yes,Real,LF_LI_Exception,low,Exception,low,Verb,Real
21,showtrial,arc,yes,Real,LF_HI_Regular,low,Regular,high,Noun,Real
22,showtrial,prour,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
23,showtrial,slack,yes,Real,LF_LI_Regular,low,Regular,low,Noun,Real
24,showtrial,ewe,yes,Real,LF_LI_Exception,low,Exception,low,Noun,Real
25,showtrial,spo,no,Real,PW_Inconsistent,N/A,N/A,N/A,N/A,Pseudo
26,showtrial,fire,yes,Real,HF_HI_Regular,high,Regular,high,Noun,Real
27,showtrial,ploof,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
28,showtrial,wribe,no,Real,PW_Analogy_Regular,N/A,N/A,N/A,N/A,Pseudo
29,showtrial,youth,yes,Real,HF_HI_Exception,high,Exception,high,Noun,Real
30,showtrial,rish,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
31,showtrial,twelve,yes,Real,HF_HI_Regular,high,Regular,high,Noun,Real
32,showtrial,stend,no,Real,PW_Analogy_Regular,N/A,N/A,N/A,N/A,Pseudo
33,showtrial,noug,no,Real,PW_No_Analogy,N/A,N/A,N/A,N/A,Pseudo
34,showtrial,sheer,yes,Real,LF_LI_Regular,low,Regular,low,Adjective,Real
35,showtrial,term,yes,Real,HF_LI_Regular,high,Regular,low,Noun,Real
36,showtrial,stilp,no,Real,PW_No_Analogy,N/A,N/A,N/A,N/A,Pseudo
37,showtrial,bord,no,Real,PH,N/A,N/A,N/A,N/A,Pseudo
38,showtrial,choose,yes,Real,HF_LI_Exception,high,Exception,low,Verb,Real
39,showtrial,froum,no,Real,PW_No_Analogy,N/A,N/A,N/A,N/A,Pseudo
40,showtrial,brear,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
41,showtrial,sieve,yes,Real,LF_LI_Exception,low,Exception,low,Noun,Real
42,showtrial,bolg,no,Real,PW_No_Analogy,N/A,N/A,N/A,N/A,Pseudo
43,showtrial,wool,yes,Real,LF_HI_Exception,low,Exception,high,Noun,Real
44,showtrial,late,yes,Real,HF_LI_Regular,high,Regular,low,Adjective,Real
45,showtrial,sealm,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
46,showtrial,fost,no,Real,PW_Inconsistent,N/A,N/A,N/A,N/A,Pseudo
47,showtrial,chic,yes,Real,LF_LI_Exception,low,Exception,low,Adjective,Real
48,showtrial,grour,no,Real,PW_Inconsistent,N/A,N/A,N/A,N/A,Pseudo
49,showtrial,threat,yes,Real,HF_LI_Exception,high,Exception,low,Noun,Real
50,showtrial,giend,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
51,showtrial,wounds,yes,Real,HF_HI_Exception,high,Exception,high,Noun,Real
52,showtrial,serve,yes,Real,HF_LI_Regular,high,Regular,low,Verb,Real
53,showtrial,tace,no,Real,PW_Analogy_Regular,N/A,N/A,N/A,N/A,Pseudo
54,showtrial,claw,yes,Real,LF_HI_Regular,low,Regular,high,Noun,Real
55,showtrial,gron,no,Real,PW_Inconsistent,N/A,N/A,N/A,N/A,Pseudo
56,showtrial,caup,no,Real,PW_No_Analogy,N/A,N/A,N/A,N/A,Pseudo
57,showtrial,dense,yes,Real,LF_LI_Regular,low,Regular,low,Adjective,Real
58,showtrial,chead,no,Real,PW_Inconsistent,N/A,N/A,N/A,N/A,Pseudo
,showasbreak,BREAK,,Break,,N/A,N/A,N/A,N/A,N/A
59,showtrial,crain,no,Real,PH,N/A,N/A,N/A,N/A,Pseudo
60,showtrial,bush,yes,Real,HF_HI_Exception,high,Exception,high,Noun,Real
61,showtrial,maich,no,Real,PW_No_Analogy,N/A,N/A,N/A,N/A,Pseudo
62,showtrial,praud,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
63,showtrial,ton,yes,Real,LF_LI_Exception,low,Exception,low,Noun,Real
64,showtrial,pawn,yes,Real,LF_HI_Regular,low,Regular,high,Noun,Real
65,showtrial,lail,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
66,showtrial,soot,yes,Real,LF_HI_Exception,low,Exception,high,Noun,Real
67,showtrial,lomb,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
68,showtrial,soil,yes,Real,LF_HI_Regular,low,Regular,high,Noun,Real
69,showtrial,vacht,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
70,showtrial,craze,yes,Real,LF_LI_Regular,low,Regular,low,Noun,Real
71,showtrial,steam,yes,Real,HF_HI_Regular,high,Regular,high,Noun,Real
72,showtrial,drate,no,Real,PW_Analogy_Regular,N/A,N/A,N/A,N/A,Pseudo
73,showtrial,steak,yes,Real,HF_HI_Exception,high,Exception,high,Noun,Real
74,showtrial,jic,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
75,showtrial,vo,no,Real,PW_Inconsistent,N/A,N/A,N/A,N/A,Pseudo
76,showtrial,touch,yes,Real,HF_HI_Exception,high,Exception,high,Verb,Real
77,showtrial,blood,yes,Real,HF_HI_Exception,high,Exception,high,Noun,Real
78,showtrial,plede,no,Real,PH,N/A,N/A,N/A,N/A,Pseudo
79,showtrial,shike,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
80,showtrial,yell,yes,Real,HF_HI_Regular,high,Regular,high,Verb,Real
81,showtrial,mest,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
82,showtrial,hark,yes,Real,LF_LI_Regular,low,Regular,low,Verb,Real
83,showtrial,sase,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
84,showtrial,bield,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
85,showtrial,swear,yes,Real,HF_LI_Exception,high,Exception,low,Verb,Real
86,showtrial,lurch,yes,Real,LF_LI_Regular,low,Regular,low,Noun,Real
87,showtrial,zask,no,Real,PW_Analogy_Regular,N/A,N/A,N/A,N/A,Pseudo
88,showtrial,wing,yes,Real,HF_HI_Regular,high,Regular,high,Noun,Real
89,showtrial,proud,yes,Real,HF_LI_Regular,high,Regular,low,Adjective,Real
90,showtrial,meech,no,Real,PW_Analogy_Regular,N/A,N/A,N/A,N/A,Pseudo
91,showtrial,ghoul,yes,Real,LF_HI_Exception,low,Exception,high,Noun,Real
92,showtrial,rough,yes,Real,HF_LI_Exception,high,Exception,low,Adjective,Real
93,showtrial,crast,no,Real,PW_Analogy_Regular,N/A,N/A,N/A,N/A,Pseudo
94,showtrial,hinge,yes,Real,LF_HI_Regular,low,Regular,high,Noun,Real
95,showtrial,crilp,no,Real,PW_No_Analogy,N/A,N/A,N/A,N/A,Pseudo
96,showtrial,bocks,no,Real,PH,N/A,N/A,N/A,N/A,Pseudo
97,showtrial,ail,yes,Real,LF_LI_Regular,low,Regular,low,Verb,Real
98,showtrial,shell,yes,Real,HF_HI_Regular,high,Regular,high,Noun,Real
99,showtrial,pilt,no,Real,PW_Analogy_Regular,N/A,N/A,N/A,N/A,Pseudo
100,showtrial,flood,yes,Real,LF_HI_Exception,low,Exception,high,Noun,Real
101,showtrial,keaf,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
102,showtrial,lose,yes,Real,HF_LI_Exception,high,Exception,low,Verb,Real
103,showtrial,deach,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
104,showtrial,rarce,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
105,showtrial,sit,yes,Real,HF_HI_Regular,high,Regular,high,Verb,Real
106,showtrial,teapt,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
